MYBPH	FAT3	LHFPL3	SLC14A1	DOCK8	MEP1B	CALM3
ATP6V0D2	DIO2	EGFR	CYP4F3	VIT	SLC13A1	STMN1
CHI3L1	KCNJ16	CPXM1	CP	TFAP2C	C9orf57	HSPA6
SULT1C2	PPP1R3C	GAS1	FYB2	NPFFR1	TMEM236	NRGN
KYNU	NPNT	OLIG1	LTF	FMO1	IL17B	GABRG2
SPOCD1	PAPLN	OLIG2	APLNR	ABCB11	AC092111.3	OLFM1
CDKN2B	DGKG	METTL7B	RASL12	VAT1L	OR5AU1	YWHAH
LIF	CDH20	SHROOM4	NNMT	GPR39	CWH43	TTC9B
TNFRSF12A	PLXNB3	IRX1	CCDC85A	AGBL1	IL5RA	EEF1A2
GDF15	ANGPTL4	KLHDC8A	GGT5	SLC16A12	HECW1	NRN1
CES1	SYPL2	MMP2	PI16	DACH2	CPHXL	CNIH2
TSLP	DBX2	SGO1	CHI3L2	PDGFRB	GCM1	CAMK2A
HMGA2	GRID2	AC087632.1	ANGPT1	PCSK6	TPH2	OSTN
SERPINE2	ERVW-1	TROAP	CIITA	TMEM132B	TIMD4	NPTX2
FOLR3	C4orf19	SCN7A	GRHL3	HGD	IL31RA	NEFL
ITGA5	KCND2	NEIL3	GALNT3	ADGRL2	PTF1A	TCEAL5
BIRC3	BAMBI	GRIK2	AL645941.2	OTOF	TOPAZ1	CDKN2D
CLEC2B	RGR	BUB1B	AQP1	FAM83B	ACOT12	AJAP1
SLC4A7	CXCL2	SMOC1	ADAMTS15	NRK	MYOCOS	FXYD7
CCDC71	ACSBG1	CDK6	GMPR	SGCG	NPC1L1	NEFM
ICAM1	CXCL5	GLI1	OR52A5	PTPRQ	MEDAG	GNG3
HMOX1	PRODH	LFNG	SLC47A2	FZD2	CCBE1	RRAD
HSPE1	AGMO	MFNG	DMRT3	SOX3	LEP	TAC1
BACE2	LHFPL1	ADAMTS6	FOXB1	GJB6	TFAP2D	BEX5
CFAP298	ALDH1A1	PBK	PIRT	C1QL2	EVPLL	NEUROD6
CCR7	FGD4	DEPDC1	CFI	LPAR3	NANOS2	HPCA
SPRED3	PPARGC1A	STEAP4	MRVI1	KCNK10	PRSS12	BDNF
MDM2	SPON1	E2F2	GALNT15	MCF2L2	CLMP	GABRA5
C6orf141	ALDH1L1	E2F8	AC126283.2	GPR143	TBR1	PRKCG
SIPA1L2	GJA1	PRDM1	TNFSF14	GBP7	PTGES	CAMK2N2
TUBB6	PCDH9	CENPF	CHST6	CDRT4	FGF18	MYLIP
CASP4	CACNB2	SYNDIG1	SYNPO2	MEI4	OTP	SLC6A17
TMEM71	DGKB	TMEM80	RASGEF1B	C2orf70	IQCF1	NTS
HS3ST3A1	CCDC78	FERMT1	ADAMTSL3	ARHGEF5	PLA2G12B	SNCB
ARHGAP29	ACACB	HJURP	HLA-DOA	NHS	NPR3	RGS4
SPHK1	ESRRG	DPF3	PRPH	MOXD1	ARSI	CRYM
